row_id,candidate_class,score_pre_sort,eligibility,eligibility_reason,primary_class,owned_classes,from_cooc,from_narrative,from_pop
13,paladin,0.04076141097412714,eligible,ok,monk,monk|ranger,0.0,0.014445621500442927,0.02631578947368421
13,barbarian,0.0523011234552815,eligible,ok,monk,monk|ranger,0.0,0.020722176086860448,0.031578947368421054
13,sorcerer,0.021463791194597397,eligible,ok,monk,monk|ranger,0.0,0.005674317510386869,0.015789473684210527
14,wizard,0.6180636831073765,eligible,ok,fighter,fighter,0.55,0.03122157784421848,0.03684210526315789
14,barbarian,0.7083430142608768,eligible,ok,fighter,fighter,0.55,0.12676406689245562,0.031578947368421054
14,druid,0.08204304299273386,eligible,ok,fighter,fighter,0.0,0.06099041141378649,0.021052631578947368
14,cleric,0.10865549506103041,eligible,ok,fighter,fighter,0.0,0.07707654769260935,0.031578947368421054
14,artificer,0.010526315789473684,eligible,ok,fighter,fighter,0.0,0.0,0.010526315789473684
15,monk,0.6496667443599341,eligible,ok,fighter,fighter,0.55,0.06282463909677616,0.03684210526315789
15,wizard,0.6180636831073765,eligible,ok,fighter,fighter,0.55,0.03122157784421848,0.03684210526315789
15,barbarian,0.7083430142608768,eligible,ok,fighter,fighter,0.55,0.12676406689245562,0.031578947368421054
15,druid,0.08204304299273386,eligible,ok,fighter,fighter,0.0,0.06099041141378649,0.021052631578947368
15,cleric,0.10865549506103041,eligible,ok,fighter,fighter,0.0,0.07707654769260935,0.031578947368421054
16,druid,0.6370465274511626,eligible,ok,paladin,barbarian|paladin,0.55,0.06599389587221523,0.021052631578947368
16,fighter,1.0220013767774268,eligible,"need STR>=13 or DEX>=13; have STR=18, DEX=10",paladin,barbarian|paladin,0.55,0.37200137677742656,0.1
16,warlock,0.2522279652832648,eligible,ok,paladin,barbarian|paladin,0.0,0.23117533370431742,0.021052631578947368
16,sorcerer,0.0414877671843242,eligible,ok,paladin,barbarian|paladin,0.0,0.02569829350011367,0.015789473684210527
16,cleric,0.0927828283355979,eligible,ok,paladin,barbarian|paladin,0.0,0.061203880967176834,0.031578947368421054
17,fighter,1.2009976672988272,eligible,"need STR>=13 or DEX>=13; have STR=10, DEX=16",warlock,monk|warlock,0.55,0.550997667298827,0.1
17,ranger,0.6204064373051347,eligible,ok,warlock,monk|warlock,0.55,0.044090647831450405,0.02631578947368421
17,rogue,0.08318775881677146,eligible,ok,warlock,monk|warlock,0.0,0.046345653553613565,0.03684210526315789
